Doctor Name,Designation,Department,Hospital,Address
Ms. Alya Fardous Azad,Senior Counselor,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Mrs. Dill Naz Zohura,Senior Counselor,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Ms. Fabia Alam,Counselor,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Farzana Islam,Chief Physician,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Ms. Tarana Anis,Senior Child Psychologist,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Shams Munwar,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr.  A.Q.M. Reza,Senior Consultant & Coordinator,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Kazi Atiqur Rahman,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. (Dr.) Md. Shahabuddin Talukder,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Tamzeed Ahmed,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Nighat Islam,Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Prof. Dr. Md. Atahar Ali,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Md. Zulfiqur Haider,Senior Consultant & Coordinator,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
Dr. Sohail Ahmed,Senior Consultant,Transforming Healthcare,Evercare Hospital Dhaka,"Plot #81, Block-E, Bashundhara R/A, Dhaka"
